customer_code,customer,market,platform,channel
80001019,Neptune,China,Brick & Mortar,Distributor
70003182,Atliq e Store,Indonesia,E-Commerce,Direct
70003181,AltiQ Exclusive,Indonesia,Brick & Mortar,Direct
70007198,AltiQ Exclusive,South Korea,Brick & Mortar,Direct
70007199,Atliq e Store,South Korea,E-Commerce,Direct
70019204,Atliq e Store,Sweden,E-Commerce,Direct
70005163,Atliq e Store,Pakistan,E-Commerce,Direct
70010047,AltiQ Exclusive,Bangladesh,Brick & Mortar,Direct
70010048,Atliq e Store,Bangladesh,E-Commerce,Direct
80007195,Sage,South Korea,Brick & Mortar,Distributor
80007196,Leader,South Korea,Brick & Mortar,Distributor
80006154,Synthetic,Philiphines,Brick & Mortar,Distributor
80006155,Novus,Philiphines,Brick & Mortar,Distributor
70006158,Atliq e Store,Philiphines,E-Commerce,Direct
70006157,AltiQ Exclusive,Philiphines,Brick & Mortar,Direct
70008169,AltiQ Exclusive,Australia,Brick & Mortar,Direct
70008170,Atliq e Store,Australia,E-Commerce,Direct
70009134,Atliq e Store,Newzealand,E-Commerce,Direct
70020104,Atliq e Store,Austria,E-Commerce,Direct
70009133,AltiQ Exclusive,Newzealand,Brick & Mortar,Direct
70016178,Atliq e Store,Poland,E-Commerce,Direct
70016177,AltiQ Exclusive,Poland,Brick & Mortar,Direct
70015151,AltiQ Exclusive,Norway,Brick & Mortar,Direct
70015152,Atliq e Store,Norway,E-Commerce,Direct
70014143,Atliq e Store,Netherlands,E-Commerce,Direct
70014142,AltiQ Exclusive,Netherlands,Brick & Mortar,Direct
70004069,AltiQ Exclusive,Japan,Brick & Mortar,Direct
70011194,Atliq e Store,France,E-Commerce,Direct
70011193,AltiQ Exclusive,France,Brick & Mortar,Direct
70004070,Atliq e Store,Japan,E-Commerce,Direct
70023031,AltiQ Exclusive,Canada,Brick & Mortar,Direct
70012042,AltiQ Exclusive,Germany,Brick & Mortar,Direct
70023032,Atliq e Store,Canada,E-Commerce,Direct
70012043,Atliq e Store,Germany,E-Commerce,Direct
70021096,Atliq e Store,United Kingdom,E-Commerce,Direct
70018115,Atliq e Store,Spain,E-Commerce,Direct
70013125,AltiQ Exclusive,Italy,Brick & Mortar,Direct
70013126,Atliq e Store,Italy,E-Commerce,Direct
70017060,Atliq e Store,Portugal,E-Commerce,Direct
70022084,AltiQ Exclusive,USA,Brick & Mortar,Direct
70022085,Atliq e Store,USA,E-Commerce,Direct
70002018,Atliq e Store,India,E-Commerce,Direct
70002017,AltiQ Exclusive,India,Brick & Mortar,Direct
90001020,Zone,China,Brick & Mortar,Retailer
90001021,Taobao,China,E-Commerce,Retailer
90003180,Amazon,Indonesia,E-Commerce,Retailer
90003179,Acclaimed Stores,Indonesia,Brick & Mortar,Retailer
90019201,Expert,Sweden,Brick & Mortar,Retailer
90019202,Argos (Sainsbury's),Sweden,Brick & Mortar,Retailer
90019203,Amazon,Sweden,E-Commerce,Retailer
90019200,Sorefoz,Sweden,Brick & Mortar,Retailer
90005161,Zone,Pakistan,Brick & Mortar,Retailer
90005160,Nomad Stores,Pakistan,Brick & Mortar,Retailer
90005159,Expression,Pakistan,Brick & Mortar,Retailer
90005162,Amazon,Pakistan,E-Commerce,Retailer
90007197,Amazon,South Korea,E-Commerce,Retailer
90010045,Control,Bangladesh,Brick & Mortar,Retailer
90010046,Amazon,Bangladesh,E-Commerce,Retailer
90010044,Surface Stores,Bangladesh,Brick & Mortar,Retailer
90006153,Insight,Philiphines,Brick & Mortar,Retailer
90006156,Amazon,Philiphines,E-Commerce,Retailer
90008165,Forward Stores,Australia,Brick & Mortar,Retailer
90008164,Digimarket,Australia,Brick & Mortar,Retailer
90008167,Electricalsocity,Australia,Brick & Mortar,Retailer
90008166,Sound,Australia,Brick & Mortar,Retailer
90008168,Amazon,Australia,E-Commerce,Retailer
90009132,Amazon,Newzealand,E-Commerce,Retailer
90009129,Leader,Newzealand,Brick & Mortar,Retailer
90009130,Logic Stores,Newzealand,Brick & Mortar,Retailer
90020103,Amazon,Austria,E-Commerce,Retailer
90009128,Propel,Newzealand,Brick & Mortar,Retailer
90009127,Epic Stores,Newzealand,Brick & Mortar,Retailer
90020102,Fnac-Darty,Austria,Brick & Mortar,Retailer
90020100,Nova,Austria,Brick & Mortar,Retailer
90020101,Euronics,Austria,Brick & Mortar,Retailer
90020097,Atlas Stores,Austria,Brick & Mortar,Retailer
90020098,Electricalsquipo Stores,Austria,Brick & Mortar,Retailer
90020099,Integration Stores,Austria,Brick & Mortar,Retailer
90016173,Expert,Poland,Brick & Mortar,Retailer
90016171,Electricalsara Stores,Poland,Brick & Mortar,Retailer
90016176,Amazon,Poland,E-Commerce,Retailer
90016175,Argos (Sainsbury's),Poland,Brick & Mortar,Retailer
90016174,Currys (Dixons Carphone),Poland,Brick & Mortar,Retailer
90014136,Reliance Digital,Netherlands,Brick & Mortar,Retailer
90014135,Electricalslance Stores,Netherlands,Brick & Mortar,Retailer
90015147,Chiptec,Norway,Brick & Mortar,Retailer
90015148,Boulanger,Norway,Brick & Mortar,Retailer
90015145,Synthetic,Norway,Brick & Mortar,Retailer
90015150,Amazon,Norway,E-Commerce,Retailer
90015149,UniEuro,Norway,Brick & Mortar,Retailer
90014140,Radio Popular,Netherlands,Brick & Mortar,Retailer
90014139,Elkjøp,Netherlands,Brick & Mortar,Retailer
90015144,Sound,Norway,Brick & Mortar,Retailer
90014141,Amazon,Netherlands,E-Commerce,Retailer
90011189,UniEuro,France,Brick & Mortar,Retailer
90011188,Elkjøp,France,Brick & Mortar,Retailer
90011191,Sorefoz,France,Brick & Mortar,Retailer
90011185,Epic Stores,France,Brick & Mortar,Retailer
90004065,Neptune,Japan,Brick & Mortar,Retailer
90011187,Chip 7,France,Brick & Mortar,Retailer
90011186,Elite,France,Brick & Mortar,Retailer
90011192,Amazon,France,E-Commerce,Retailer
90004066,Surface Stores,Japan,Brick & Mortar,Retailer
90004064,All-Out,Japan,Brick & Mortar,Retailer
90004067,Amazon,Japan,E-Commerce,Retailer
90004068,Amazon,Japan,E-Commerce,Retailer
90004061,Info Stores,Japan,Brick & Mortar,Retailer
90004063,Electricalsbea Stores,Japan,Brick & Mortar,Retailer
90004062,Flawless Stores,Japan,Brick & Mortar,Retailer
90023028,walmart,Canada,Brick & Mortar,Retailer
90023027,Costco,Canada,Brick & Mortar,Retailer
90023029,Staples,Canada,Brick & Mortar,Retailer
90023030,Amazon,Canada,E-Commerce,Retailer
90023026,Relief,Canada,Brick & Mortar,Retailer
90023022,Nomad Stores,Canada,Brick & Mortar,Retailer
90012038,Expert,Germany,Brick & Mortar,Retailer
90023023,Amazon,Canada,E-Commerce,Retailer
90023025,Premium Stores,Canada,Brick & Mortar,Retailer
90023024,Sage,Canada,Brick & Mortar,Retailer
90012041,Amazon,Germany,E-Commerce,Retailer
90012037,Saturn,Germany,Brick & Mortar,Retailer
90012040,Fnac-Darty,Germany,Brick & Mortar,Retailer
90012039,Currys (Dixons Carphone),Germany,Brick & Mortar,Retailer
90012033,Digimarket,Germany,Brick & Mortar,Retailer
90012034,Otto,Germany,Brick & Mortar,Retailer
90012035,Notebillig,Germany,Brick & Mortar,Retailer
90021092,UniEuro,United Kingdom,Brick & Mortar,Retailer
90021091,Expert,United Kingdom,Brick & Mortar,Retailer
90021094,Coolblue,United Kingdom,Brick & Mortar,Retailer
90021093,Chip 7,United Kingdom,Brick & Mortar,Retailer
90021088,Electricalslytical,United Kingdom,Brick & Mortar,Retailer
90021090,Radio Popular,United Kingdom,Brick & Mortar,Retailer
90021089,Atlas Stores,United Kingdom,Brick & Mortar,Retailer
90018108,Relief,Spain,Brick & Mortar,Retailer
90018107,Elite,Spain,Brick & Mortar,Retailer
90018110,Boulanger,Spain,Brick & Mortar,Retailer
90018109,Chiptec,Spain,Brick & Mortar,Retailer
90021095,Amazon,United Kingdom,E-Commerce,Retailer
90018112,Euronics,Spain,Brick & Mortar,Retailer
90018105,Integration Stores,Spain,Brick & Mortar,Retailer
90021087,Logic Stores,United Kingdom,Brick & Mortar,Retailer
90013118,Fnac-Darty,Italy,Brick & Mortar,Retailer
90013119,Argos (Sainsbury's),Italy,Brick & Mortar,Retailer
90013120,Coolblue,Italy,Brick & Mortar,Retailer
90013117,Euronics,Italy,Brick & Mortar,Retailer
90013121,Boulanger,Italy,Brick & Mortar,Retailer
90018106,Flipkart,Spain,E-Commerce,Retailer
90013122,Radio Popular,Italy,Brick & Mortar,Retailer
90013123,Expert,Italy,Brick & Mortar,Retailer
90013124,Amazon,Italy,E-Commerce,Retailer
90018114,Amazon,Spain,E-Commerce,Retailer
90021086,Electricalsquipo Stores,United Kingdom,Brick & Mortar,Retailer
90018113,Elkjøp,Spain,Brick & Mortar,Retailer
90017057,Euronics,Portugal,Brick & Mortar,Retailer
90017059,Amazon,Portugal,E-Commerce,Retailer
90017056,Sorefoz,Portugal,Brick & Mortar,Retailer
90017049,Premium Stores,Portugal,Brick & Mortar,Retailer
90017051,Forward Stores,Portugal,Brick & Mortar,Retailer
90017050,Electricalsara Stores,Portugal,Brick & Mortar,Retailer
90017055,Electricalslance Stores,Portugal,Brick & Mortar,Retailer
90017054,Flawless Stores,Portugal,Brick & Mortar,Retailer
90017053,Info Stores,Portugal,Brick & Mortar,Retailer
90022073,Control,USA,Brick & Mortar,Retailer
90022071,Acclaimed Stores,USA,Brick & Mortar,Retailer
90022074,Flipkart,USA,E-Commerce,Retailer
90022077,Radio Shack,USA,Brick & Mortar,Retailer
