product_code,division,segment,category,product,variant
A5721110508,PC,Notebook,Gaming Laptop,AQ Smash 2,Premium Misty Green
A5721110507,PC,Notebook,Gaming Laptop,AQ Smash 2,Premium Black
A5721110505,PC,Notebook,Gaming Laptop,AQ Smash 2,Plus Cool Blue
A5721110504,PC,Notebook,Gaming Laptop,AQ Smash 2,Plus Firey Red
A5721110503,PC,Notebook,Gaming Laptop,AQ Smash 2,Standard Black
A5721110502,PC,Notebook,Gaming Laptop,AQ Smash 2,Standard Cool Blue
A5721110501,PC,Notebook,Gaming Laptop,AQ Smash 2,Standard Firey Red
A5621110408,PC,Notebook,Gaming Laptop,AQ Smash 1,Premium Misty Green
A5621110407,PC,Notebook,Gaming Laptop,AQ Smash 1,Premium Black
A5621110405,PC,Notebook,Gaming Laptop,AQ Smash 1,Plus Cool Blue
A5621110404,PC,Notebook,Gaming Laptop,AQ Smash 1,Plus Firey Red
A5621110403,PC,Notebook,Gaming Laptop,AQ Smash 1,Standard Black
A5620110402,PC,Notebook,Gaming Laptop,AQ Smash 1,Standard Cool Blue
A5620110401,PC,Notebook,Gaming Laptop,AQ Smash 1,Standard Firey Red
A5520110308,PC,Notebook,Gaming Laptop,AQ Gamer 3,Premium Misty Green
A5520110307,PC,Notebook,Gaming Laptop,AQ Gamer 3,Premium Black
A5520110305,PC,Notebook,Gaming Laptop,AQ Gamer 3,Plus Cool Blue
A5519110304,PC,Notebook,Gaming Laptop,AQ Gamer 3,Plus Firey Red
A5519110303,PC,Notebook,Gaming Laptop,AQ Gamer 3,Standard Black
A5519110302,PC,Notebook,Gaming Laptop,AQ Gamer 3,Standard Cool Blue
A5519110301,PC,Notebook,Gaming Laptop,AQ Gamer 3,Standard Firey Red
A5419110208,PC,Notebook,Gaming Laptop,AQ Gamer 2,Premium Misty Green
A5419110207,PC,Notebook,Gaming Laptop,AQ Gamer 2,Premium Black
A5419110205,PC,Notebook,Gaming Laptop,AQ Gamer 2,Plus Cool Blue
A5419110204,PC,Notebook,Gaming Laptop,AQ Gamer 2,Plus Firey Red
A5419110203,PC,Notebook,Gaming Laptop,AQ Gamer 2,Standard Black
A5419110202,PC,Notebook,Gaming Laptop,AQ Gamer 2,Standard Cool Blue
A5419110201,PC,Notebook,Gaming Laptop,AQ Gamer 2,Standard Firey Red
A5318110108,PC,Notebook,Gaming Laptop,AQ Gamer 1,Premium Misty Green
A5318110107,PC,Notebook,Gaming Laptop,AQ Gamer 1,Premium Black
A5318110105,PC,Notebook,Gaming Laptop,AQ Gamer 1,Plus Cool Blue
A5318110104,PC,Notebook,Gaming Laptop,AQ Gamer 1,Plus Firey Red
A5318110103,PC,Notebook,Gaming Laptop,AQ Gamer 1,Standard Black
A5318110102,PC,Notebook,Gaming Laptop,AQ Gamer 1,Standard Cool Blue
A5318110101,PC,Notebook,Gaming Laptop,AQ Gamer 1,Standard Firey Red
A4821110808,PC,Notebook,Personal Laptop,AQ F16,Premium Misty Green
A4821110807,PC,Notebook,Personal Laptop,AQ F16,Premium Black
A4821110806,PC,Notebook,Personal Laptop,AQ F16,Plus Red
A4821110805,PC,Notebook,Personal Laptop,AQ F16,Plus Blue
A4821110804,PC,Notebook,Personal Laptop,AQ F16,Plus Grey
A4821110802,PC,Notebook,Personal Laptop,AQ F16,Standard Blue
A4821110801,PC,Notebook,Personal Laptop,AQ F16,Standard Grey
A4721110708,PC,Notebook,Personal Laptop,AQ GEN Z,Premium Misty Green
A4721110707,PC,Notebook,Personal Laptop,AQ GEN Z,Premium Black
A4721110706,PC,Notebook,Personal Laptop,AQ GEN Z,Plus Red
A4721110705,PC,Notebook,Personal Laptop,AQ GEN Z,Plus Blue
A4721110704,PC,Notebook,Personal Laptop,AQ GEN Z,Plus Grey
A4720110702,PC,Notebook,Personal Laptop,AQ GEN Z,Standard Blue
A4720110701,PC,Notebook,Personal Laptop,AQ GEN Z,Standard Grey
A4620110608,PC,Notebook,Personal Laptop,AQ Gen Y,Premium Misty Green
A4620110607,PC,Notebook,Personal Laptop,AQ Gen Y,Premium Black
A4620110606,PC,Notebook,Personal Laptop,AQ Gen Y,Plus Red
A4620110605,PC,Notebook,Personal Laptop,AQ Gen Y,Plus Blue
A4620110604,PC,Notebook,Personal Laptop,AQ Gen Y,Plus Grey
A4620110602,PC,Notebook,Personal Laptop,AQ Gen Y,Standard Blue
A4620110601,PC,Notebook,Personal Laptop,AQ Gen Y,Standard Grey
A4520110508,PC,Notebook,Personal Laptop,AQ Gen X,Premium Misty Green
A4520110507,PC,Notebook,Personal Laptop,AQ Gen X,Premium Black
A4520110506,PC,Notebook,Personal Laptop,AQ Gen X,Plus Red
A4520110505,PC,Notebook,Personal Laptop,AQ Gen X,Plus Blue
A4520110504,PC,Notebook,Personal Laptop,AQ Gen X,Plus Grey
A4519110502,PC,Notebook,Personal Laptop,AQ Gen X,Standard Blue
A4519110501,PC,Notebook,Personal Laptop,AQ Gen X,Standard Grey
A4419110408,PC,Notebook,Personal Laptop,AQ Elite,Premium Misty Green
A4419110407,PC,Notebook,Personal Laptop,AQ Elite,Premium Black
